1,849,44
2,849,78
3,177,59
4,146,101
5,736,46
6,604,67
7,220,39
8,894,39
9,806,100
10,717,102
11,187,19
12,106,15
13,620,97
14,153,67
15,421,13
16,451,17
17,439,36
18,128,105
19,113,24
20,747,36
21,880,27
22,625,62
23,935,16
24,261,60
25,406,15
26,432,73
27,184,25
28,118,71
29,308,90
30,47,93
31,76,88
32,476,110
33,5,6
34,145,103
35,720,110
36,772,13
37,971,33
38,912,38
39,852,51
40,552,39
41,999,35
42,778,22
43,172,25
44,337,69
45,641,34
46,882,53
47,639,103
48,559,18
49,943,60
50,435,93
51,633,39
52,338,69
53,256,31
54,315,90
55,384,41
56,218,48
57,832,81
58,978,55
59,964,60
60,32,99
61,374,108
62,507,106
63,325,88
64,581,80
65,80,7
66,351,31
67,137,12
68,388,5
69,533,34
70,741,73
71,410,99
72,236,37
73,467,84
74,684,9
75,430,90
76,941,90
77,378,8
78,504,104
79,882,37
80,706,26
81,111,12
82,185,102
83,637,7
84,68,13
85,302,107
86,443,100
87,169,34
88,940,82
89,905,24
90,755,73
91,967,56
92,246,110
93,439,60
94,748,72
95,898,72
96,765,31
97,337,46
98,441,34
99,952,94
100,964,51
101,683,39
102,235,71
103,835,103
104,339,7
105,469,56
106,628,24
107,656,24
108,28,16
109,534,72
110,357,26
111,522,73
112,622,62
113,589,35
114,731,71
115,536,68
116,102,34
117,690,85
118,291,62
119,933,59
120,68,89
121,649,19
122,282,51
123,649,18
124,550,91
125,888,29
126,612,99
127,950,59
128,164,70
129,498,80
130,278,8
131,901,42
132,476,74
133,813,6
134,71,7
135,468,34
136,667,81
137,415,107
138,416,17
139,915,108
140,552,62
141,804,89
142,602,59
143,685,86
144,654,5
145,656,58
146,567,90
147,658,53
148,396,93
149,670,102
150,351,17
151,709,103
152,395,41
153,853,96
154,667,103
155,835,9
156,650,100
157,512,9
158,775,81
159,200,66
160,710,62
161,787,36
162,847,61
163,339,26
164,240,63
165,472,73
166,994,60
167,991,99
168,662,61
169,73,92
170,152,51
171,390,96
172,453,44
173,808,15
174,774,47
175,30,106
176,334,93
177,703,39
178,549,85
179,439,79
180,669,86
181,378,107
182,363,102
183,249,31
184,924,104
185,681,31
186,854,8
187,26,103
188,712,19
189,510,55
190,885,79
191,578,41
192,642,108
193,209,77
194,801,91
195,268,39
196,164,97
197,927,61
198,983,22
199,55,53
200,461,61
201,835,15
202,331,37
203,943,22
204,54,55
205,977,69
206,523,85
207,58,94
208,172,6
209,688,106
210,497,110
211,333,90
212,529,80
213,384,47
214,923,94
215,575,82
216,652,89
217,858,73
218,331,81
219,47,52
220,197,57
221,616,52
222,471,79
223,100,64
224,45,9
225,608,75
226,174,91
227,217,35
228,82,42
229,458,38
230,52,25
231,59,16
232,993,108
233,361,50
234,391,50
235,964,16
236,877,42
237,845,69
238,745,7
239,918,73
240,1,35
241,395,28
242,379,17
243,954,44
